지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
236,2019-01-01,-2.7,-5.8,657,1,1604,,,,,,0,6.3,360,1608,3.5,320,1611,.9,740,-6,60,2258,77.9,4,1032.8,1036.2,255,1032.4,1401,1034.3,9.7,1,,,,,,,,,6.6,4.3,-1.3,-9.1,,,,,,,,,,,,,
236,2019-01-02,-4.5,-10.1,651,2.9,1333,,,,,,,5.5,290,1343,3.4,340,1435,.9,755,-9,38,1526,73.3,3.1,1033.4,1036.9,855,1033.1,1401,1034.9,9.8,8.1,,,,,,,,,.3,.1,-2.5,-12.1,,,,,,,,,,,,,
236,2019-01-03,-4.2,-10.9,712,5.4,1507,,,,,,,4.9,90,1450,2.2,20,1345,.5,468,-10.5,24,1638,66.8,2.8,1034.1,1037.9,947,1034,1622,1035.7,9.8,8.5,,,,,,,,,0,0,-2.2,-14.3,,,,,,,,,,,,,
236,2019-01-04,-3.6,-10.2,705,3.3,1522,,,,,,,4.7,270,1046,3.2,290,1053,.5,417,-8.9,37,1424,68.8,3.2,1029.9,1035.7,1,1028,2345,1031.4,9.8,1.9,,,,,,,,,4.5,2.6,-2.6,-13.7,,,,,,,,,,,,,
236,2019-01-05,-2,-7,2354,4.4,1453,,,,,,,6.6,320,1503,3.6,320,1328,1.2,994,-10.5,20,1501,57.5,2.9,1025.9,1029.9,1031,1025.3,1537,1027.4,9.8,7.6,,,,,,,,,4.9,.8,-.7,-11.7,,,,,,,,,,,,,
236,2019-01-06,-3.4,-9.4,450,5.6,1519,,,,,,,4.2,320,1710,2.6,320,1713,.7,567,-11.1,25,1502,59.5,2.6,1027.5,1030.3,1014,1027.6,1619,1029.1,9.8,7.9,,,,,,,,,3.8,1.1,-1.2,-12.7,,,,,,,,,,,,,
236,2019-01-07,-2.7,-9.6,632,5.6,1414,,,,,,,6.8,290,1446,4.1,320,1450,.7,629,-7.2,44,1442,73.4,3.6,1027.4,1031,956,1027.5,1724,1029,9.8,7.1,,,,,,,,,3.6,2,-1.8,-13.1,,,,,,,,,,,,,
236,2019-01-08,-2.2,-7.1,738,3.8,1402,,,,,,,9.6,290,1555,5.5,320,1558,1.8,1577,-10.7,20,1500,58.1,2.8,1028.1,1033.1,2351,1027.5,1340,1029.6,9.8,7.3,,,,,,,,,4.3,0,-1.5,-11.6,,,,,,,,,,,,,
236,2019-01-09,-4.3,-10.3,700,3,1555,,,,,,,6.7,70,1025,3.5,70,1032,.8,704,-15.4,11,1629,45,1.9,1031.8,1036.3,820,1029.5,2354,1033.3,9.9,6.4,,,,,,,,,7.6,.3,-2.3,-13.7,,,,,,,,,,,,,
236,2019-01-10,-1.7,-5.5,2227,2.1,1432,,,,,,,3,160,1127,1.8,140,1401,.5,443,-9.1,39,1109,59,3.1,1025.7,1029.7,1,1025.6,1353,1027.2,9.9,.8,,,,,,,,,6.3,3.5,-1.1,-10.2,,,,,,,,,,,,,
236,2019-01-11,2,-4.7,1,7.7,1459,,,,,,,6.1,20,1340,3.2,340,1340,.9,762,-4.6,43,1456,63.9,4.4,1023.7,1027.8,717,1022.2,2358,1025.2,9.9,3.9,,,,,,,,,7.1,5.4,1.5,-6,,,,,,,,,,,,,
236,2019-01-12,4.5,.8,808,9.6,1427,,,,,,0,5.8,320,1553,3.7,320,1558,1,891,-2.2,38,1450,64.4,5.3,1021.6,1024.9,2351,1021.1,1353,1023.1,9.9,4.3,,,,,,,,,7.6,3.5,3.1,-2.1,,,,,,,,,,,,,
236,2019-01-13,.2,-5.2,738,9.3,1455,,,,,,,4.5,160,1339,2.5,320,1636,.6,559,-5.7,27,1539,68.5,4,1024.4,1027.5,2335,1024.4,1454,1025.9,9.9,8.5,,,,,,,,,0,0,.7,-10.2,,,,,,,,,,,,,
236,2019-01-14,-.8,-6.3,732,6.2,1540,,,,,,,5.1,90,1406,2.3,90,1410,.5,389,-4,51,1538,80.3,4.6,1024.5,1028.3,1004,1024.1,2350,1026,9.9,3.5,,,,,,,,,4.3,0,-.6,-9.4,,,,,,,,,,,,,
236,2019-01-15,-.9,-5.3,2400,6.8,1246,,,,,,0,10.4,290,1816,5.4,320,1742,2,1739,-5.7,45,1235,72,4.2,1023.4,1028.3,2342,1022.5,1245,1024.9,10,3.6,,,,,,,,,6.1,.8,-.6,-7.8,,,,,,,,,,,,,
236,2019-01-16,-4.2,-10.2,750,1.7,1517,,,,,,,7.3,320,1622,4.3,340,1536,1.1,910,-11.5,27,1422,59.4,2.5,1026.1,1030,1055,1026.3,2232,1027.6,10,8.3,,,,,,,,,3.8,.8,-1.6,-12.1,,,,,,,,,,,,,
236,2019-01-17,-1.6,-5.8,2356,5.6,1612,,,,,,,5,320,1652,2.8,340,1656,.6,542,-6.1,41,1730,72.5,3.9,1024.1,1028.8,2349,1023.8,1347,1025.6,10,1.9,,,,,,,,,5.5,2,-.6,-9.4,,,,,,,,,,,,,
236,2019-01-18,-1,-7.5,333,7.7,1516,,,,,,,4,230,1426,2.8,140,1609,.5,473,-5.3,44,1456,75,4.1,1026.6,1030.5,926,1026.5,1432,1028.1,10,7.6,,,,,,,,,3.4,.3,-.3,-9.8,,,,,,,,,,,,,
236,2019-01-19,2.1,-4.6,821,8.3,1451,,,,,,,3.3,90,1500,2,290,1232,.4,361,-3.6,35,1438,69.3,4.7,1021.4,1027.5,3,1018.8,2159,1022.9,10,3.5,,,,,,,,,7.4,5.9,.5,-7.8,,,,,,,,,,,,,
236,2019-01-20,.3,-6.1,2342,3.9,1306,,,,,,,9,320,1337,5.5,320,1452,2.1,1797,-9.1,24,1447,52.6,3.3,1021.9,1027.3,2352,1018.7,107,1023.4,10.1,8.9,,,,,,,,,1.6,.5,.9,-9.6,,,,,,,,,,,,,
236,2019-01-21,-1.5,-9,654,6.7,1444,,,,,,,7.3,200,1338,4.5,290,1415,1.1,924,-6.8,45,1541,69.3,3.7,1021.9,1027.3,1,1020.9,1723,1023.4,10.1,5.3,,,,,,,,,2.6,2.4,-.4,-11.2,,,,,,,,,,,,,
